1 1 3800
1 2 3800
1 3 3800
1 4 3800
1 5 3800
1 6 3800
1 7 3800
1 8 3800
1 9 3800
1 10 3800
1 11 3800
1 12 3800
1 13 3800
1 14 3800
1 15 3800
1 16 3800
1 17 3800
1 18 3800
1 19 3800
1 20 3800
1 21 3800
1 22 3800
1 23 3800
1 24 3800
1 25 3800
1 26 3800
1 27 3800
1 28 3800
1 29 3800
1 30 3800
1 31 3800
1 32 3800
2 1 3800
2 2 3800
2 3 3800
2 4 3800
2 5 3800
2 6 3800
2 7 3800
2 8 3800
2 9 3800
2 10 3800
2 11 3800
2 12 3800
2 13 3800
2 14 3800
2 15 3800
2 16 3800
2 17 3800
2 18 3800
2 19 3800
2 20 3800
2 21 3800
2 22 3800
2 23 3800
2 24 3800
2 25 3800
2 26 3800
2 27 3800
2 28 3800
2 29 3800
2 30 3800
2 31 3800
2 32 3800
3 1 3800
3 2 3800
3 3 3800
3 4 3800
3 5 3800
3 6 3800
3 7 3800
3 8 3800
3 9 3800
3 10 3800
3 11 3800
3 12 3800
3 13 3800
3 14 3800
3 15 3800
3 16 3800
3 17 3800
3 18 3800
3 19 3800
3 20 3800
3 21 3800
3 22 3800
3 23 3800
3 24 3800
3 25 3800
3 26 3800
3 27 3800
3 28 3800
3 29 3800
3 30 3800
3 31 3800
3 32 3800
4 1 3800
4 2 3800
4 3 3800
4 4 3800
4 5 3800
4 6 3800
4 7 3800
4 8 3800
4 9 3800
4 10 3800
4 11 3800
4 12 3800
4 13 3800
4 14 3800
4 15 3800
4 16 3800
4 17 3800
4 18 3800
4 19 3800
4 20 3800
4 21 3800
4 22 3800
4 23 3800
4 24 3800
4 25 3800
4 26 3800
4 27 3800
4 28 3800
4 29 3800
4 30 3800
4 31 3800
4 32 3800
5 1 3800
5 2 3800
5 3 3800
5 4 3800
5 5 3800
5 6 3800
5 7 3800
5 8 3800
5 9 3800
5 10 3800
5 11 3800
5 12 3800
5 13 3800
5 14 3800
5 15 3800
5 16 3800
5 17 3800
5 18 3800
5 19 3800
5 20 3800
5 21 3800
5 22 3800
5 23 3800
5 24 3800
5 25 3800
5 26 3800
5 27 3800
5 28 3800
5 29 3800
5 30 3800
5 31 3800
5 32 3800
6 1 3800
6 2 3800
6 3 3800
6 4 3800
6 5 3800
6 6 3800
6 7 3800
6 8 3800
6 9 3800
6 10 3800
6 11 3800
6 12 3800
6 13 3800
6 14 3800
6 15 3800
6 16 3800
6 17 3800
6 18 3800
6 19 3800
6 20 3800
6 21 3800
6 22 3800
6 23 3800
6 24 3800
6 25 3800
6 26 3800
6 27 3800
6 28 3800
6 29 3800
6 30 3800
6 31 3800
6 32 3800
7 1 3800
7 2 3800
7 3 3800
7 4 3800
7 5 3800
7 6 3800
7 7 3800
7 8 3800
7 9 3800
7 10 3800
7 11 3800
7 12 3800
7 13 3800
7 14 3800
7 15 3800
7 16 3800
7 17 3800
7 18 3800
7 19 3800
7 20 3800
7 21 3800
7 22 3800
7 23 3800
7 24 3800
7 25 3800
7 26 3800
7 27 3800
7 28 3800
7 29 3800
7 30 3800
7 31 3800
7 32 3800
8 1 3800
8 2 3800
8 3 3800
8 4 3800
8 5 3800
8 6 3800
8 7 3800
8 8 3800
8 9 3800
8 10 3800
8 11 3800
8 12 3800
8 13 3800
8 14 3800
8 15 3800
8 16 3800
8 17 3800
8 18 3800
8 19 3800
8 20 3800
8 21 3800
8 22 3800
8 23 3800
8 24 3800
8 25 3800
8 26 3800
8 27 3800
8 28 3800
8 29 3800
8 30 3800
8 31 3800
8 32 3800
9 1 3800
9 2 3800
9 3 3800
9 4 3800
9 5 3800
9 6 3800
9 7 3800
9 8 3800
9 9 3800
9 10 3800
9 11 3800
9 12 3800
9 13 3800
9 14 3800
9 15 3800
9 16 3800
9 17 3800
9 18 3800
9 19 3800
9 20 3800
9 21 3800
9 22 3800
9 23 3800
9 24 3800
9 25 3800
9 26 3800
9 27 3800
9 28 3800
9 29 3800
9 30 3800
9 31 3800
9 32 3800
10 1 3800
10 2 3800
10 3 3800
10 4 3800
10 5 3800
10 6 3800
10 7 3800
10 8 3800
10 9 3800
10 10 3800
10 11 3800
10 12 3800
10 13 3800
10 14 3800
10 15 3800
10 16 3800
10 17 3800
10 18 3800
10 19 3800
10 20 3800
10 21 3800
10 22 3800
10 23 3800
10 24 3800
10 25 3800
10 26 3800
10 27 3800
10 28 3800
10 29 3800
10 30 3800
10 31 3800
10 32 3800
11 1 3800
11 2 3800
11 3 3800
11 4 3800
11 5 3800
11 6 3800
11 7 3800
11 8 3800
11 9 3800
11 10 3800
11 11 3800
11 12 3800
11 13 3800
11 14 3800
11 15 3800
11 16 3800
11 17 3800
11 18 3800
11 19 3800
11 20 3800
11 21 3800
11 22 3800
11 23 3800
11 24 3800
11 25 3800
11 26 3800
11 27 3800
11 28 3800
11 29 3800
11 30 3800
11 31 3800
11 32 3800
12 1 3800
12 2 3800
12 3 3800
12 4 3800
12 5 3800
12 6 3800
12 7 3800
12 8 3800
12 9 3800
12 10 3800
12 11 3800
12 12 3800
12 13 3800
